year,region,inputProduceFiberMT,inputProduceResinMT,inputImportResinMT,inputImportArticlesMT,inputImportGoodsMT,inputImportFiberMT,inputAdditivesMT,consumptionAgricultureMT,consumptionConstructionMT,consumptionElectronicMT,consumptionHouseholdLeisureSportsMT,consumptionPackagingMT,consumptionTransporationMT,consumptionTextitleMT,consumptionOtherMT,eolRecyclingPercent,eolIncinerationPercent,eolLandfillPercent,eolMismanagedPercent
2050,nafta,10.268612511765241,253.438175254385,0,51.26567793775757,2.885396480478448,18.42905472408529,14.955886378505966,0.0,0.0,0.6924951555488406,0.47897581616734897,1.3359385742724044,0.3751015442210246,28.697667205851758,0.002885396481421054,0.0,0.12102021303796637,0.8657939524078067,0.013185834554227017
2021,nafta,3.0877405221326626,72.65774825116387,0,8.11884993466083,5.717473817435348,6.245874522261147,6.450935425160424,0.0,0.0,1.3721937161274127,0.9491006539235514,2.647190378510004,0.7432715967374861,9.333615044408361,0.005717473819551344,0.0827121658363453,0.15689389543090151,0.7340093192409514,0.0263846194918018
2022,nafta,3.154793828172842,75.61941316863522,0,8.805033548822394,5.751771939537321,6.501330225975835,6.661692500050776,0.0,0.0,1.3804252642023584,0.9547941414650722,2.663070406508723,0.7477303518417102,9.656124039553106,0.005751771936060024,0.07942626673272905,0.1572471710109278,0.7374785797565429,0.025847982499800266
2023,nafta,3.234379521345545,78.81818960828241,0,9.550682596993283,5.7805895440842505,6.767932611393917,6.877984869739521,0.0,0.0,1.3873414898548617,0.9595778647617408,2.6764129558682725,0.7514766401847055,10.002312118100235,0.005780589542907499,0.0755380633678123,0.15756326396379172,0.7415734110445615,0.025325261623834416
2024,nafta,3.326585567458096,82.25325721112313,0,10.35523112329247,5.80295983463202,7.045831201412511,7.099901335135655,0.0,0.0,1.3927103596213328,0.9632913317075236,2.686770401139256,0.7543847784204445,10.372416739737673,0.005802959828508314,0.07105064840643892,0.15784183004507646,0.7462910408879733,0.02481648066051131
2025,nafta,3.4314849267284444,85.92393989523407,0,11.218218120004167,5.818082756347394,7.335148615497019,7.327515164597571,0.0,0.0,1.3963398608207171,0.9658017366380136,2.693772312858073,0.7563507577424389,10.766633527717204,0.005818082752163001,0.06596653454977616,0.15808259566955016,0.7516292107514884,0.024321659029185365
2026,nafta,3.549138396505441,89.82967040711083,0,12.139265052450355,5.825292477346011,7.635986599507305,7.5608870966661925,0.0,0.0,1.3980701945533838,0.9669985511063715,2.6971104169751925,0.7572880220785692,11.185124981435365,0.00582529247452257,0.060287792176398514,0.15828534515670842,0.7575860500374147,0.023840812629478337
2027,nafta,3.6795972087275004,93.96997427230235,0,13.118059788801474,5.824031595267115,7.94843051899079,7.800067859447154,0.0,0.0,1.3977675826386076,0.9667892450709132,2.696526628380525,0.7571241075239641,11.628027712897165,0.005824031594564794,0.054016146266464046,0.15844990291437716,0.7641599960902956,0.023373954728863156
2028,nafta,3.822904746997665,98.34444954950595,0,14.1543434978812,5.813830733364739,8.2725527599614,8.045100054092472,0.0,0.0,1.395319375465533,0.9650959018820231,2.6918036281099376,0.7557979951611742,12.095457506744424,0.005813830731820069,0.04715303388578534,0.15857612588650016,0.7713497439033775,0.02292109632433694
2029,nafta,3.979097910309065,102.95275113813113,0,15.247899151145248,5.794292468695858,8.60841498559239,8.296019550498386,0.0,0.0,1.3906301919259931,0.9618525484870588,2.6827574121471116,0.7532580207446244,12.587512910424266,0.005794292464990747,0.039699677096867246,0.1586638966038912,0.7791541796975643,0.02248224660167727
2030,nafta,4.1482085084826394,107.79458586772671,0,16.398545023126644,5.765078342277775,8.956070251591882,8.552856905202134,0.0,0.0,1.3836188003901952,0.9570030049003435,2.6692312710720216,0.7494601844357476,13.104278760030866,0.005765078336343876,0.03165711055366261,0.15871311697237256,0.7875723590391499,0.022057413434814883
2031,nafta,4.330263959567674,112.86970156343887,0,17.606127837279928,5.725898630376832,9.315564596254262,8.815638194801068,0.0,0.0,1.3742156699236148,0.9504991725113996,2.6510910642373346,0.744366820826599,13.645828570392041,0.005725898625163595,0.023026222923825408,0.15872370396846547,0.7966034697941522,0.021646603313556934
2032,nafta,4.525288020558946,118.17787844483973,0,18.87051690851513,5.676504093231415,9.686937962800585,9.08438576820663,0.0,0.0,1.3623609832425245,0.9422996799055454,2.6282213949270954,0.7379455326022253,14.21222596881853,0.005676504099728419,0.013807774394334534,0.15869558937430756,0.8062468141150986,0.021249822116259396
2033,nafta,4.733301388994732,123.71892590454081,0,20.191600855250726,5.616679275308343,10.070225332994596,9.35911892275908,0.0,0.0,1.3480030241116765,0.9323687590356258,2.6005224972723227,0.7301683040270746,14.80352673643938,0.005616679266983837,0.004002433414432892,0.15862871312222906,0.8165017789559005,0.02086707450743754
2034,nafta,4.95432206102123,129.49267314572353,0,21.569283094257116,5.546237111275332,10.465457316367974,9.639854277125778,0.0,0.0,1.331096906550556,0.9206753601592936,2.5679077828963273,0.7210108254635088,15.41977936270996,0.0055462371116874465,0.0,0.15751661560677385,0.8221151568467622,0.02036822754646397
2035,nafta,5.188366250524268,135.4989799145842,0,23.003483122651232,5.465014285962752,10.8726613241015,9.926606524990348,0.0,0.0,1.3116034290856078,0.9071923716837773,2.530301615622193,0.7104518578626084,16.06102754513995,0.005465014282117764,0.0,0.155674922186778,0.8245252390856356,0.019799838727586415
2036,nafta,5.435447780299,141.73771178163588,0,24.494128027261468,5.3728679843807186,11.291861183046422,10.219388245672235,0.0,0.0,1.289488318106578,0.891896085968483,2.4876378766348353,0.6984728379875378,16.727308933768654,0.005372867982996965,0.0,0.1537472114763672,0.8270065016241606,0.019246286899472196
2037,nafta,5.695579199986241,148.20875665277708,0,26.041156657913234,5.2696724814613845,11.723078354785684,10.518210630971225,0.0,0.0,1.2647213953950995,0.874765632354638,2.4398583578222315,0.6850574217389749,17.418657539921696,0.0052696724846157394,0.0,0.1517396251626992,0.8295523537071336,0.01870802113016713
